Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
2018,1,Jan,Friday,School Holiday Weekday,MetroBus,268350
2018,1,Jan,Friday,School Holiday Weekday,MetroTrain,570700
2018,1,Jan,Friday,School Holiday Weekday,RegionalBus,21550
2018,1,Jan,Friday,School Holiday Weekday,RegionalTrain,43700
2018,1,Jan,Friday,School Holiday Weekday,Tram,529250
2018,1,Jan,Monday,Normal Weekday,MetroBus,308450
2018,1,Jan,Monday,Normal Weekday,MetroTrain,638350
2018,1,Jan,Monday,Normal Weekday,RegionalBus,22600
2018,1,Jan,Monday,Normal Weekday,RegionalTrain,47700
2018,1,Jan,Monday,Normal Weekday,Tram,534800
2018,1,Jan,Monday,School Holiday Weekday,MetroBus,298500
2018,1,Jan,Monday,School Holiday Weekday,MetroTrain,636150
2018,1,Jan,Monday,School Holiday Weekday,RegionalBus,23150
2018,1,Jan,Monday,School Holiday Weekday,RegionalTrain,49650
2018,1,Jan,Monday,School Holiday Weekday,Tram,562150
2018,1,Jan,Saturday,Weekend,MetroBus,154100
2018,1,Jan,Saturday,Weekend,MetroTrain,333700
2018,1,Jan,Saturday,Weekend,RegionalBus,13100
2018,1,Jan,Saturday,Weekend,RegionalTrain,20600
2018,1,Jan,Saturday,Weekend,Tram,393050
2018,1,Jan,Sunday,Weekend,MetroBus,105100
2018,1,Jan,Sunday,Weekend,MetroTrain,249600
2018,1,Jan,Sunday,Weekend,RegionalBus,8600
2018,1,Jan,Sunday,Weekend,RegionalTrain,18350
2018,1,Jan,Sunday,Weekend,Tram,325900
2018,1,Jan,Thursday,School Holiday Weekday,MetroBus,298100
2018,1,Jan,Thursday,School Holiday Weekday,MetroTrain,617350
2018,1,Jan,Thursday,School Holiday Weekday,RegionalBus,24400
2018,1,Jan,Thursday,School Holiday Weekday,RegionalTrain,47450
2018,1,Jan,Thursday,School Holiday Weekday,Tram,563600
2018,1,Jan,Tuesday,Normal Weekday,MetroBus,359800
2018,1,Jan,Tuesday,Normal Weekday,MetroTrain,729400
2018,1,Jan,Tuesday,Normal Weekday,RegionalBus,26950
2018,1,Jan,Tuesday,Normal Weekday,RegionalTrain,52550
2018,1,Jan,Tuesday,Normal Weekday,Tram,610600
2018,1,Jan,Tuesday,School Holiday Weekday,MetroBus,295500
2018,1,Jan,Tuesday,School Holiday Weekday,MetroTrain,618050
2018,1,Jan,Tuesday,School Holiday Weekday,RegionalBus,23300
2018,1,Jan,Tuesday,School Holiday Weekday,RegionalTrain,48050
2018,1,Jan,Tuesday,School Holiday Weekday,Tram,558300
2018,1,Jan,Wednesday,Normal Weekday,MetroBus,400250
2018,1,Jan,Wednesday,Normal Weekday,MetroTrain,716600
2018,1,Jan,Wednesday,Normal Weekday,RegionalBus,31300
2018,1,Jan,Wednesday,Normal Weekday,RegionalTrain,48600
2018,1,Jan,Wednesday,Normal Weekday,Tram,611100
2018,1,Jan,Wednesday,School Holiday Weekday,MetroBus,299950
2018,1,Jan,Wednesday,School Holiday Weekday,MetroTrain,630400
2018,1,Jan,Wednesday,School Holiday Weekday,RegionalBus,24400
2018,1,Jan,Wednesday,School Holiday Weekday,RegionalTrain,48750
2018,1,Jan,Wednesday,School Holiday Weekday,Tram,570050
2018,2,Feb,Friday,Normal Weekday,MetroBus,449650
2018,2,Feb,Friday,Normal Weekday,MetroTrain,784400
2018,2,Feb,Friday,Normal Weekday,RegionalBus,39800
2018,2,Feb,Friday,Normal Weekday,RegionalTrain,54050
2018,2,Feb,Friday,Normal Weekday,Tram,691500
2018,2,Feb,Monday,Normal Weekday,MetroBus,462750
2018,2,Feb,Monday,Normal Weekday,MetroTrain,770350
2018,2,Feb,Monday,Normal Weekday,RegionalBus,40150
2018,2,Feb,Monday,Normal Weekday,RegionalTrain,52950
2018,2,Feb,Monday,Normal Weekday,Tram,657250
2018,2,Feb,Saturday,Weekend,MetroBus,186950
2018,2,Feb,Saturday,Weekend,MetroTrain,428750
2018,2,Feb,Saturday,Weekend,RegionalBus,15700
2018,2,Feb,Saturday,Weekend,RegionalTrain,26000
2018,2,Feb,Saturday,Weekend,Tram,469550
2018,2,Feb,Sunday,Weekend,MetroBus,117350
2018,2,Feb,Sunday,Weekend,MetroTrain,284150
2018,2,Feb,Sunday,Weekend,RegionalBus,9950
2018,2,Feb,Sunday,Weekend,RegionalTrain,19050
2018,2,Feb,Sunday,Weekend,Tram,375550
2018,2,Feb,Thursday,Normal Weekday,MetroBus,460750
2018,2,Feb,Thursday,Normal Weekday,MetroTrain,777800
2018,2,Feb,Thursday,Normal Weekday,RegionalBus,40400
2018,2,Feb,Thursday,Normal Weekday,RegionalTrain,53800
2018,2,Feb,Thursday,Normal Weekday,Tram,672900
2018,2,Feb,Tuesday,Normal Weekday,MetroBus,475950
2018,2,Feb,Tuesday,Normal Weekday,MetroTrain,806800
2018,2,Feb,Tuesday,Normal Weekday,RegionalBus,41750
2018,2,Feb,Tuesday,Normal Weekday,RegionalTrain,56150
2018,2,Feb,Tuesday,Normal Weekday,Tram,686050
2018,2,Feb,Wednesday,Normal Weekday,MetroBus,468400
2018,2,Feb,Wednesday,Normal Weekday,MetroTrain,803550
2018,2,Feb,Wednesday,Normal Weekday,RegionalBus,40800
2018,2,Feb,Wednesday,Normal Weekday,RegionalTrain,58800
2018,2,Feb,Wednesday,Normal Weekday,Tram,692450
2018,3,Mar,Friday,Normal Weekday,MetroBus,484100
2018,3,Mar,Friday,Normal Weekday,MetroTrain,894550
2018,3,Mar,Friday,Normal Weekday,RegionalBus,41950
2018,3,Mar,Friday,Normal Weekday,RegionalTrain,59800
2018,3,Mar,Friday,Normal Weekday,Tram,792550
2018,3,Mar,Monday,Normal Weekday,MetroBus,478600
2018,3,Mar,Monday,Normal Weekday,MetroTrain,827100
2018,3,Mar,Monday,Normal Weekday,RegionalBus,40500
2018,3,Mar,Monday,Normal Weekday,RegionalTrain,58650
2018,3,Mar,Monday,Normal Weekday,Tram,718900
